tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
586,2013-06-30 21:45:59,2013-06-30 21:55:45,223,W 13 St & 7 Ave,40.73781509,-73.99994661,335.0,Washington Pl & Broadway,40.72903917,-73.99404649,14798,Subscriber,1980.0,1
2162,2013-06-30 21:46:00,2013-06-30 22:22:02,479,9 Ave & W 45 St,40.76019252,-73.9912551,264.0,Maiden Ln & Pearl St,40.70706456,-74.00731853,19963,Subscriber,1990.0,1
726,2013-06-30 21:46:01,2013-06-30 21:58:07,463,9 Ave & W 16 St,40.74206539,-74.00443172,495.0,W 47 St & 10 Ave,40.76269882,-73.99301222,19789,Customer,,0
893,2013-06-30 21:46:01,2013-06-30 22:00:54,263,Elizabeth St & Hester St,40.71759081805981,-73.99622440338135,127.0,Barrow St & Hudson St,40.73172428,-74.00674436,19982,Customer,,0
376,2013-06-30 21:46:00,2013-06-30 21:52:16,150,E 2 St & Avenue C,40.7208736,-73.98085795,517.0,Pershing Square South,40.751581,-73.97791,16200,Subscriber,1983.0,1
237,2013-06-30 21:46:08,2013-06-30 21:50:05,150,E 2 St & Avenue C,40.7208736,-73.98085795,416.0,Cumberland St & Lafayette Ave,40.68753406,-73.97265183,15964,Subscriber,1989.0,2
890,2013-06-30 21:46:07,2013-06-30 22:00:57,499,Broadway & W 60 St,40.76915505,-73.98191841,320.0,Leonard St & Church St,40.717571,-74.005549,20100,Subscriber,1984.0,1
559,2013-06-30 21:44:29,2013-06-30 21:53:48,489,10 Ave & W 28 St,40.75066386,-74.00176802,462.0,W 22 St & 10 Ave,40.74691959,-74.00451887,16730,Subscriber,1979.0,1
465,2013-06-30 21:45:14,2013-06-30 21:52:59,432,E 7 St & Avenue A,40.72621788,-73.98379855,254.0,W 11 St & 6 Ave,40.73532427,-73.99800419,17566,Subscriber,1978.0,1
246,2013-06-30 21:46:23,2013-06-30 21:50:29,521,8 Ave & W 31 St N,40.75096734871598,-73.99444207549095,489.0,10 Ave & W 28 St,40.75066386,-74.00176802,16108,Subscriber,1986.0,1
679,2013-06-30 21:45:35,2013-06-30 21:56:54,432,E 7 St & Avenue A,40.72621788,-73.98379855,237.0,E 11 St & 2 Ave,40.73047309,-73.98672378,19114,Subscriber,1982.0,1
1027,2013-06-30 21:46:23,2013-06-30 22:03:30,528,2 Ave & E 31 St,40.74290902,-73.97706058,265.0,Stanton St & Chrystie St,40.72229346,-73.99147535,15077,Customer,,0
1137,2013-06-30 21:46:23,2013-06-30 22:05:20,444,Broadway & W 24 St,40.7423543,-73.98915076,545.0,E 23 St & 1 Ave,40.736502,-73.97809472,16815,Customer,,0
705,2013-06-30 21:45:39,2013-06-30 21:57:24,432,E 7 St & Avenue A,40.72621788,-73.98379855,518.0,E 39 St & 2 Ave,40.74780373,-73.9734419,16165,Subscriber,1988.0,1
